epoch: 1, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 6.89e-01 - valid loss: 6.99e-01, valid CER: 20.81
epoch: 2, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 5.50e-01 - valid loss: 6.75e-01, valid CER: 19.82
epoch: 3, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 5.15e-01 - valid loss: 6.37e-01, valid CER: 18.80
epoch: 4, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 4.91e-01 - valid loss: 6.12e-01, valid CER: 18.12
epoch: 5, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 4.76e-01 - valid loss: 6.11e-01, valid CER: 17.99
epoch: 6, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 4.58e-01 - valid loss: 5.93e-01, valid CER: 17.33
epoch: 7, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 4.47e-01 - valid loss: 5.96e-01, valid CER: 17.37
epoch: 8, lr_model: 5.76e-01, lr_wav2vec: 8.10e-05 - train loss: 4.34e-01 - valid loss: 5.79e-01, valid CER: 16.84
epoch: 9, lr_model: 5.76e-01, lr_wav2vec: 8.10e-05 - train loss: 4.24e-01 - valid loss: 5.75e-01, valid CER: 16.72
epoch: 10, lr_model: 5.76e-01, lr_wav2vec: 8.10e-05 - train loss: 4.20e-01 - valid loss: 5.79e-01, valid CER: 16.74
epoch: 11, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 4.09e-01 - valid loss: 5.72e-01, valid CER: 16.50
epoch: 12, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 4.01e-01 - valid loss: 5.71e-01, valid CER: 16.38
epoch: 13, lr_model: 3.69e-01, lr_wav2vec: 6.56e-05 - train loss: 3.94e-01 - valid loss: 5.64e-01, valid CER: 16.19
epoch: 14, lr_model: 3.69e-01, lr_wav2vec: 6.56e-05 - train loss: 3.87e-01 - valid loss: 5.69e-01, valid CER: 16.28

